weekDay,type,count
Tue,Apela\xc3\xa7\xc3\xa3o Crime,7793
Tue,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,23514
Tue,Carta Testemunh\xc3\xa1vel,6
Tue,Cautelar Inominada,63
Tue,Conflito de Compet\xc3\xaancia,3397
Tue,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,123
Tue,Correi\xc3\xa7\xc3\xa3o Parcial,208
Tue,Crimes contra a honra,3
Tue,Cumprimento de Senten\xc3\xa7a,1
Tue,Desaforamento,3
Tue,Embargos de Declara\xc3\xa7\xc3\xa3o,90593
Tue,Embargos Infringentes,594
Tue,Embargos Infringentes e de Nulidade,22
Tue,Exce\xc3\xa7\xc3\xa3o de Impedimento,3
Tue,Exce\xc3\xa7\xc3\xa3o de Incompet\xc3\xaancia,3
Tue,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,70
Tue,Exce\xc3\xa7\xc3\xa3o Suspei\xc3\xa7\xc3\xa3o Impedimento,1
Tue,Habeas Corpus,3429
Tue,Habeas Data,1
Tue,Impugna\xc3\xa7\xc3\xa3o ao Cumprimento de Senten\xc3\xa7a,1
Tue,Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa,7
Tue,Incidente de Falsidade,1
Tue,Incidente de Inconstitucionalidade,4
Tue,Incidente de Resolucao de Demandas Repetitiva,4
Tue,Incidente de Uniformizacao Jurisprudencia,123
Tue,Inqu\xc3\xa9rito Policial,7
Tue,Interven\xc3\xa7\xc3\xa3o em Munic\xc3\xadpio,2
Tue,Investiga\xc3\xa7\xc3\xa3o Contra Magistrado,4
Tue,Mandado de Injun\xc3\xa7\xc3\xa3o,252
Tue,Mandado de Seguran\xc3\xa7a,1629
Tue,Mandado de Seguran\xc3\xa7a Coletivo,1
Tue,Medida Cautelar,8
Tue,Medida Cautelar Inominada,23
Tue,Medidas Protetivas de Urgencia,1
Tue,Pedido de Assist\xc3\xaancia Judici\xc3\xa1ria Gratuita,2
Tue,Peti\xc3\xa7\xc3\xa3o,89
Tue,Reclama\xc3\xa7\xc3\xa3o,96
Tue,Reclama\xc3\xa7\xc3\xa3o Regimental,2
Tue,Recurso C\xc3\xadvel,59230
Tue,Recurso Crime,296
Tue,Recurso de Of\xc3\xadcio,3
Tue,Recurso em Sentido Estrito,1099
Tue,Recurso Especial,7939
Tue,Recurso Especial e ou Extraordin\xc3\xa1rio,1587
Tue,Recurso Extraordin\xc3\xa1rio,720
Tue,Reexame Necess\xc3\xa1rio,9997
Tue,Representa\xc3\xa7\xc3\xa3o Criminal,37
Tue,Restaura\xc3\xa7\xc3\xa3o de Autos,23
Tue,Revis\xc3\xa3o Criminal,121
Tue,Suspen\xc3\xa7\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,6
Tue,Suspens\xc3\xa3o de Execu\xc3\xa7\xc3\xa3o de Senten\xc3\xa7a,1
Tue,Suspens\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,2
Tue,Termo Circunstanciado,5
Tue,Tutela Antecipada Antecedente,2
Tue,Tutela Cautelar Antecedente,1
Tue,Tutela Provisoria,1
Tue,Uniformiza\xc3\xa7\xc3\xa3o de Jurisprud\xc3\xaancia,2
Wed,A\xc3\xa7\xc3\xa3o Civil Improbidade Administrativa,1
Wed,A\xc3\xa7\xc3\xa3o Direta de Inconstitucionalidade,18
Wed,A\xc3\xa7\xc3\xa3o Penal,4
Wed,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,613
Wed,Agravo,99204
Wed,Agravo de Instrumento,220733
Wed,Agravo em Execu\xc3\xa7\xc3\xa3o,566
Wed,Agravo Embargos Infringentes,1
Wed,Agravo Interno,661
Wed,Agravo Regimental,5152
Wed,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,285509
Wed,Apela\xc3\xa7\xc3\xa3o Crime,71212
Wed,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,28408
Wed,Carta Testemunh\xc3\xa1vel,74
Wed,Cautelar Inominada,121
Wed,Conflito de Compet\xc3\xaancia,6061
Wed,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,1496
Wed,Correi\xc3\xa7\xc3\xa3o Parcial,1096
Wed,Crimes contra a honra,2
Wed,Desaforamento,41
Wed,Embargos de Declara\xc3\xa7\xc3\xa3o,170247
Wed,Embargos Infringentes,154
Wed,Embargos Infringentes e de Nulidade,47
Wed,Exce\xc3\xa7\xc3\xa3o da Verdade,2
Wed,Exce\xc3\xa7\xc3\xa3o de Impedimento,4
Wed,Exce\xc3\xa7\xc3\xa3o de Incompet\xc3\xaancia,7
Wed,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,205
Wed,Exce\xc3\xa7\xc3\xa3o Suspei\xc3\xa7\xc3\xa3o Impedimento,2
Wed,Habeas Corpus,37522
Wed,Habeas Data,3
Wed,Impugna\xc3\xa7\xc3\xa3o \xc3\xa0 Assist\xc3\xaancia Judici\xc3\xa1ria,3
Wed,Impugna\xc3\xa7\xc3\xa3o ao Cumprimento de Senten\xc3\xa7a,1
Wed,Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa,8
Wed,Incidente de Falsidade,3
Wed,Incidente de Inconstitucionalidade,1
Wed,Incidente de Resolucao de Demandas Repetitiva,5
Wed,Incidente de Uniformizacao Jurisprudencia,69
Wed,Inqu\xc3\xa9rito Policial,3
Wed,Interven\xc3\xa7\xc3\xa3o em Munic\xc3\xadpio,2
Wed,Investiga\xc3\xa7\xc3\xa3o Contra Magistrado,3
Wed,Mandado de Injun\xc3\xa7\xc3\xa3o,184
Wed,Mandado de Seguran\xc3\xa7a,2852
Wed,Mandado de Seguran\xc3\xa7a Crime,2
Wed,Medida Cautelar,12
Wed,Medida Cautelar Inominada,49
Wed,Medidas Protetivas de Urgencia,2
Wed,Not\xc3\xadcia Crime,1
Wed,Outros C\xc3\xadveis,1
Wed,Outros Feitos,1
Wed,Peti\xc3\xa7\xc3\xa3o,157
Wed,Prefeito,1
Wed,Procedimento Investigat\xc3\xb3rio do MP,1
Wed,Reabilita\xc3\xa7\xc3\xa3o,2
Wed,Reclama\xc3\xa7\xc3\xa3o,105
Wed,Reclama\xc3\xa7\xc3\xa3o Regimental,2
Wed,Recurso C\xc3\xadvel,93983
Wed,Recurso Crime,161
Wed,Recurso de Of\xc3\xadcio,52
Wed,Recurso em Sentido Estrito,8325
Wed,Recurso Especial,11308
Wed,Recurso Especial e ou Extraordin\xc3\xa1rio,2739
Wed,Recurso Extraordin\xc3\xa1rio,7920
Wed,Reexame Necess\xc3\xa1rio,7647
Wed,Representa\xc3\xa7\xc3\xa3o Criminal,31
Wed,Restaura\xc3\xa7\xc3\xa3o de Autos,44
Wed,Revis\xc3\xa3o Criminal,142
Wed,Suspen\xc3\xa7\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,11
Wed,Suspens\xc3\xa3o de Execu\xc3\xa7\xc3\xa3o de Senten\xc3\xa7a,1
Wed,Suspens\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,5
Wed,Termo Circunstanciado,9
Wed,Tutela Antecipada Antecedente,1
Wed,Tutela Cautelar Antecedente,2
Wed,Tutela Provisoria,4
Wed,Uniformiza\xc3\xa7\xc3\xa3o de Jurisprud\xc3\xaancia,3
Thu,A\xc3\xa7\xc3\xa3o Civil Improbidade Administrativa,1
Thu,A\xc3\xa7\xc3\xa3o Civil P\xc3\xbablica,1
Thu,A\xc3\xa7\xc3\xa3o Direta de Inconstitucionalidade,17
Thu,A\xc3\xa7\xc3\xa3o Penal,302
Thu,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,588
Thu,Agravo,127446
Thu,Agravo de Instrumento,207372
Thu,Agravo em Execu\xc3\xa7\xc3\xa3o,1097
Thu,Agravo Embargos Infringentes,2
Thu,Agravo Inominado,1
Thu,Agravo Interno,1015
Thu,Agravo Regimental,8143
Thu,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,301369
Thu,Apela\xc3\xa7\xc3\xa3o Crime,89160
Thu,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,17982
Thu,Arresto Hipoteca Legal,1
Thu,Carta Testemunh\xc3\xa1vel,69
Thu,Cautelar Inominada,127
Thu,Conflito de Compet\xc3\xaancia,5656
Thu,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,1837
Thu,Correi\xc3\xa7\xc3\xa3o Parcial,1544
Thu,Crime Responsabilidade Funcion\xc3\xa1rio Publico,1
Thu,Crimes Ambientais,5
Thu,Crimes contra a honra,13
Thu,Cumprimento de Senten\xc3\xa7a,7
Thu,Desaforamento,38
Thu,Embargos \xc3\xa0 Execu\xc3\xa7\xc3\xa3o,1
Thu,Embargos de Declara\xc3\xa7\xc3\xa3o,184358
Thu,Embargos de Terceiros,1
Thu,Embargos Infringentes,23
Thu,Embargos Infringentes e de Nulidade,317
Thu,Exce\xc3\xa7\xc3\xa3o da Verdade,3
Thu,Exce\xc3\xa7\xc3\xa3o de Impedimento,8
Thu,Exce\xc3\xa7\xc3\xa3o de Incompet\xc3\xaancia,8
Thu,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,257
Thu,Exce\xc3\xa7\xc3\xa3o Suspei\xc3\xa7\xc3\xa3o Impedimento,1
Thu,Habeas Corpus,49568
Thu,Habeas Data,2
Thu,Impugna\xc3\xa7\xc3\xa3o \xc3\xa0 Assist\xc3\xaancia Judici\xc3\xa1ria,7
Thu,Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa,16
Thu,Incidente de Assun\xc3\xa7\xc3\xa3o de Compet\xc3\xaancia,1
Thu,Incidente de Falsidade,2
Thu,Incidente de Inconstitucionalidade,1
Thu,Incidente de Resolucao de Demandas Repetitiva,3
Thu,Incidente de Uniformizacao Jurisprudencia,8
Thu,Inqu\xc3\xa9rito Policial,25
Thu,Interven\xc3\xa7\xc3\xa3o em Munic\xc3\xadpio,2
Thu,Investiga\xc3\xa7\xc3\xa3o Contra Magistrado,1
Thu,Liquida\xc3\xa7\xc3\xa3o Provis\xc3\xb3ria por Artigos,2
Thu,Mandado de Injun\xc3\xa7\xc3\xa3o,225
Thu,Mandado de Seguran\xc3\xa7a,3325
Thu,Mandado de Seguran\xc3\xa7a Coletivo,2
Thu,Mandado de Seguran\xc3\xa7a Crime,2
Thu,Medida Cautelar,15
Thu,Medida Cautelar Inominada,58
Thu,Not\xc3\xadcia Crime,3
Thu,Oposi\xc3\xa7\xc3\xa3o,1
Thu,Pedido de Assist\xc3\xaancia Judici\xc3\xa1ria Gratuita,2
Thu,Peti\xc3\xa7\xc3\xa3o,192
Thu,Procedimento Investigat\xc3\xb3rio do MP,4
Thu,Processo Crime,16
Thu,Reabilita\xc3\xa7\xc3\xa3o,1
Thu,Reclama\xc3\xa7\xc3\xa3o,88
Thu,Reclama\xc3\xa7\xc3\xa3o Regimental,3
Thu,Recurso C\xc3\xadvel,120813
Thu,Recurso Crime,192
Thu,Recurso de Of\xc3\xadcio,106
Thu,Recurso em Sentido Estrito,9617
Thu,Recurso Especial,11198
Thu,Recurso Especial e ou Extraordin\xc3\xa1rio,3953
Thu,Recurso Extraordin\xc3\xa1rio,5158
Thu,Recurso Oficioso em Sentido Estrito,1
Thu,Reexame Necess\xc3\xa1rio,5484
Thu,Representa\xc3\xa7\xc3\xa3o Criminal,71
Thu,Restaura\xc3\xa7\xc3\xa3o de Autos,42
Thu,Revis\xc3\xa3o Criminal,181
Thu,Suspen\xc3\xa7\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,8
Thu,Suspens\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,1
Thu,Termo Circunstanciado,39
Thu,Tutela Antecipada Antecedente,3
Thu,Tutela Provisoria,3
Thu,Uniformiza\xc3\xa7\xc3\xa3o de Jurisprud\xc3\xaancia,7
Fri,A\xc3\xa7\xc3\xa3o Civil Improbidade Administrativa,2
Fri,A\xc3\xa7\xc3\xa3o Direta de Inconstitucionalidade,15
Fri,A\xc3\xa7\xc3\xa3o Penal,5
Fri,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,1732
Fri,Agravo,2394
Fri,Agravo de Instrumento,103470
Fri,Agravo em Execu\xc3\xa7\xc3\xa3o,6
Fri,Agravo em Rec,1
Fri,Agravo Interno,71
Fri,Agravo Regimental,1575
Fri,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,48057
Fri,Apela\xc3\xa7\xc3\xa3o Crime,1681
Fri,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,4375
Fri,Carta Testemunh\xc3\xa1vel,6
Fri,Cautelar Inominada,50
Fri,Conflito de Compet\xc3\xaancia,2759
Fri,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,95
Fri,Correi\xc3\xa7\xc3\xa3o Parcial,187
Fri,Crimes contra a honra,2
Fri,Cumprimento de Senten\xc3\xa7a,4
Fri,Desaforamento,1
Fri,Embargos de Declara\xc3\xa7\xc3\xa3o,15650
Fri,Embargos de Terceiros,1
Fri,Embargos Infringentes,7283
Fri,Embargos Infringentes e de Nulidade,11367
Fri,Exce\xc3\xa7\xc3\xa3o de Impedimento,2
Fri,Exce\xc3\xa7\xc3\xa3o de Incompet\xc3\xaancia,2
Fri,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,36
Fri,Habeas Corpus,2789
Fri,Habeas Data,15
Fri,Impugna\xc3\xa7\xc3\xa3o \xc3\xa0 Assist\xc3\xaancia Judici\xc3\xa1ria,17
Fri,Impugna\xc3\xa7\xc3\xa3o ao Cumprimento de Senten\xc3\xa7a,1
Fri,Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa,76
Fri,Incidente de Assun\xc3\xa7\xc3\xa3o de Compet\xc3\xaancia,1
Fri,Incidente de Falsidade,2
Fri,Incidente de Inconstitucionalidade,3
Fri,Incidente de Preven\xc3\xa7\xc3\xa3o ou Composi\xc3\xa7\xc3\xa3o de Diverg\xc3\xaancia,1
Fri,Incidente de Resolucao de Demandas Repetitiva,17
Fri,Incidente de Uniformizacao Jurisprudencia,19
Fri,Inqu\xc3\xa9rito Policial,5
Fri,Interpela\xc3\xa7\xc3\xa3o,1
Fri,Interven\xc3\xa7\xc3\xa3o no Estado,2
Fri,Investiga\xc3\xa7\xc3\xa3o Contra Magistrado,4
Fri,Mandado de Injun\xc3\xa7\xc3\xa3o,252
Fri,Mandado de Seguran\xc3\xa7a,3769
Fri,Mandado de Seguran\xc3\xa7a Coletivo,7
Fri,Mandado de Seguran\xc3\xa7a Crime,3
Fri,Medida Cautelar,2
Fri,Medida Cautelar Inominada,25
Fri,Not\xc3\xadcia Crime,1
Fri,Notifica\xc3\xa7\xc3\xa3o Para Explica\xc3\xa7\xc3\xb5es,1
Fri,Pedido de Assist\xc3\xaancia Judici\xc3\xa1ria Gratuita,1
Fri,Peti\xc3\xa7\xc3\xa3o,92
Fri,Prefeito,4
Fri,Procedimento Investigat\xc3\xb3rio do MP,1
Fri,Reclama\xc3\xa7\xc3\xa3o,70
Fri,Reclama\xc3\xa7\xc3\xa3o Regimental,2
Fri,Recurso C\xc3\xadvel,37700
Fri,Recurso Crime,93
Fri,Recurso de Of\xc3\xadcio,6
Fri,Recurso em Sentido Estrito,128
Fri,Recurso Especial,11786
Fri,Recurso Especial e ou Extraordin\xc3\xa1rio,2330
Fri,Recurso Extraordin\xc3\xa1rio,4386
Fri,Reexame Necess\xc3\xa1rio,2020
Fri,Representa\xc3\xa7\xc3\xa3o Criminal,31
Fri,Restaura\xc3\xa7\xc3\xa3o de Autos,15
Fri,Revis\xc3\xa3o Criminal,3145
Fri,Suspen\xc3\xa7\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,16
Fri,Suspens\xc3\xa3o de Execu\xc3\xa7\xc3\xa3o de Senten\xc3\xa7a,1
Fri,Suspens\xc3\xa3o de Liminar ou Antecipa\xc3\xa7\xc3\xa3o de Tutela,1
Fri,Termo Circunstanciado,5
Fri,Tutela Antecipada Antecedente,1
Fri,Tutela Cautelar Antecedente,2
Fri,Tutela Provisoria,1
Fri,Uniformiza\xc3\xa7\xc3\xa3o de Jurisprud\xc3\xaancia,33
Sat,A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria,5
Sat,Agravo,139
Sat,Agravo de Instrumento,2125
Sat,Agravo Regimental,2
Sat,Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel,1789
Sat,Apela\xc3\xa7\xc3\xa3o Crime,14
Sat,Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio,241
Sat,Conflito de Compet\xc3\xaancia,46
Sat,Conflito de Jurisdi\xc3\xa7\xc3\xa3o,1
Sat,Correi\xc3\xa7\xc3\xa3o Parcial,9
Sat,Embargos de Declara\xc3\xa7\xc3\xa3o,192
Sat,Embargos Infringentes,1
Sat,Exce\xc3\xa7\xc3\xa3o de Impedimento,1
Sat,Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o,3
Sat,Habeas Corpus,65
Sat,Mandado de Injun\xc3\xa7\xc3\xa3o,2
Sat,Mandado de Seguran\xc3\xa7a,17
Sat,Reclama\xc3\xa7\xc3\xa3o,3
Sat,Recurso C\xc3\xadvel,39
Sat,Recurso em Sentido Estrito,3
Sat,Recurso Especial,595
Sat,Recurso Especial e ou Extraordin\xc3\xa1rio,146
Sat,Recurso Extraordin\xc3\xa1rio,417
Sat,Reexame Necess\xc3\xa1rio,90
Sat,Representa\xc3\xa7\xc3\xa3o Criminal,1
Sat,Revis\xc3\xa3o Criminal,7
